Respondent,WorkWeekHrs,Age,Gender
1,,14.0,Man
2,,19.0,Man
3,40.0,28.0,Man
4,80.0,22.0,Man
5,55.0,30.0,Man
6,15.0,28.0,Man
7,32.0,42.0,Man
8,,24.0,Man
9,32.0,23.0,Man
10,70.0,,
11,,22.0,Man
12,,21.0,Woman
13,40.0,28.0,Man
14,40.0,31.0,Man
15,,20.0,Man
16,40.0,26.0,Man
17,45.0,29.0,Man
18,40.0,,Man
19,8.0,31.0,Man
20,140.0,38.0,Man
21,,,Man
22,40.0,47.0,Man
23,40.0,22.0,Man
24,50.0,23.0,Man
25,45.0,22.0,Man
26,40.0,34.0,Man
27,,22.0,Man
28,40.0,,Man
29,40.0,32.0,Man
30,36.0,28.0,Man
31,,,Woman
32,37.0,21.0,Man
33,35.0,25.0,Man
34,,17.0,Man
35,40.0,35.0,Woman
36,38.0,21.0,Man
37,,27.0,Man
38,39.0,44.0,Man
39,50.0,42.0,Man
40,,23.0,Man
41,,,
42,40.0,30.0,Man
43,40.0,27.0,Man
44,39.0,43.0,Man
45,45.0,62.0,Man
46,40.0,37.0,Man
47,40.0,45.0,Man
48,,20.0,Man
49,42.0,34.0,Man
50,7.0,23.0,Man
51,,18.0,Woman
52,40.0,22.0,Man
53,42.0,18.0,Man
54,40.0,37.0,Man
55,,25.0,Man
56,40.0,33.0,Man
57,40.0,31.0,Man
58,40.0,47.0,Man
59,50.0,38.0,Man
60,46.0,27.0,Man
61,40.0,34.0,Man
62,45.0,19.0,Man
63,40.0,42.0,Man
64,40.0,25.0,Man
65,48.0,21.0,Man
66,,,
67,40.0,24.0,Man
68,70.0,29.0,Man
69,40.0,18.0,Man
70,40.0,42.0,Man
71,8.0,21.0,Woman
72,50.0,29.0,Man
73,40.0,36.0,Man
74,40.0,24.0,Man
75,50.0,27.0,Woman
76,40.0,32.0,Man
77,40.0,43.0,Man
78,40.0,25.0,Man
79,,20.0,Man
80,50.0,24.0,Man
81,,28.0,Man
82,35.0,,Man
83,45.0,22.0,Man
84,40.0,26.0,Man
85,40.0,31.0,Man
86,50.0,26.0,Woman
87,40.0,36.0,Man
88,,16.0,Man
89,,,Man
90,50.0,25.0,Man
91,,25.0,Man
92,38.0,35.0,Man
93,25.0,32.0,
94,44.0,27.0,Man
95,40.0,30.0,Man
96,,43.0,Man
97,45.0,25.0,"Non-binary, genderqueer, or gender non-conforming"
98,,30.0,Man
99,,21.0,Man
100,35.0,39.0,Woman
101,40.0,35.0,
102,40.0,37.0,Man
103,,,Man
104,6.0,29.0,Man
105,40.0,,Woman
106,35.0,33.0,Man
107,,24.0,Man
108,40.0,64.0,Man
109,40.0,41.0,Man
110,45.0,26.0,Man
111,,54.0,Man
112,12.0,19.0,Man
113,45.0,49.0,Man
114,45.0,26.0,Man
115,40.0,21.0,Man
116,45.0,31.0,Man
117,45.0,38.0,Man
118,40.0,26.0,Man
119,35.0,28.0,Man
120,40.0,26.0,Man
121,,20.0,Man
122,45.0,,Man
123,45.0,24.0,Man
124,40.0,27.0,Man
125,40.0,35.0,Man
126,40.0,32.0,Man
127,44.0,36.0,Man
128,50.0,30.0,Man
129,50.0,34.0,Man
130,75.0,23.0,Man
131,55.0,,Man
132,40.0,30.0,Man
133,,39.0,Man
134,45.0,54.0,Man
135,40.0,32.0,Man
136,,,Man
137,45.0,25.0,
139,42.0,24.0,Man
140,48.0,25.0,Man
141,,21.0,Man
142,40.0,24.0,Woman
143,40.0,36.0,
144,35.0,47.0,Man
145,,,Man
146,55.0,47.0,Man
147,45.0,,Man
148,40.0,28.0,Woman
149,30.0,40.0,Man
150,,31.0,Woman
151,160.0,34.0,Man
152,42.0,39.0,Man
153,40.0,,Man
154,30.0,40.0,Man
155,40.0,34.0,Man
156,40.0,36.0,Man
157,40.0,25.0,Man
158,40.0,29.0,Man
159,40.0,35.0,Man
160,40.0,43.0,Man
161,48.0,35.0,Man
162,,,
163,50.0,32.0,Woman
164,38.0,47.0,Man
165,60.0,,Man
166,45.0,30.0,Man
167,385.0,28.0,Woman
168,75.0,,Man
169,60.0,32.0,Man
170,30.0,25.0,Man
171,,,
172,40.0,31.0,Man
173,44.0,31.0,Man
174,45.0,24.0,Man
175,,20.0,Man
176,40.0,31.0,Man
177,45.0,22.0,Man
178,8.0,28.0,Man
179,40.0,35.0,Man
180,,32.0,Woman
181,40.0,29.0,Woman
182,,18.0,Man
183,40.0,30.0,Man
184,40.0,29.0,Man
185,32.0,28.0,
186,,26.0,Woman
187,,23.0,Woman
188,42.0,28.0,Man
189,40.0,28.0,Man
190,45.0,27.0,Man
191,40.0,27.0,Man
192,40.0,28.0,Man
193,32.0,56.0,Man
194,40.0,29.0,Man
195,,22.0,Man
